Cluster,Score,Type,Gene,Symbol,Network
2,2.5,Clustered,14682,Gnaq,MyList_SUB1
2,2.5,Clustered,14674,Gna13,MyList_SUB1
2,2.5,Seed,14672,Gna11,MyList_SUB1
2,2.5,Clustered,14683,Gnas,MyList_SUB1
2,2.5,Clustered,14687,Gnaz,MyList_SUB1
2,2.5,Clustered,15461,Hras,MyList_SUB1
1,1.4285714285714286,Clustered,20614,Snap25,MyList_SUB1
1,1.4285714285714286,Clustered,13385,Dlg4,MyList_SUB1
1,1.4285714285714286,Clustered,72961,Slc17a7,MyList_SUB1
1,1.4285714285714286,Seed,22348,Slc32a1,MyList_SUB1
1,1.4285714285714286,Clustered,12322,Camk2a,MyList_SUB1
1,1.4285714285714286,Clustered,12323,Camk2b,MyList_SUB1
1,1.4285714285714286,Clustered,20910,Stxbp1,MyList_SUB1
3,1.0,Clustered,11772,Ap2a2,MyList_SUB1
3,1.0,Seed,104015,Synj1,MyList_SUB1
3,1.0,Clustered,11771,Ap2a1,MyList_SUB1
4,1.0,Seed,108664,Atp6v1h,MyList_SUB4
4,1.0,Clustered,11964,Atp6v1a,MyList_SUB4
4,1.0,Clustered,235380,Dmxl2,MyList_SUB4
